epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_sec
1,1.3965366644965278,0.4896888888888889,1.3986346981048583,0.5096,36.72293829917908
2,0.9239215493943956,0.6741777777777778,1.0925713844299316,0.6486,36.93770909309387
3,0.7510771625306871,0.7384444444444445,0.8832462796211242,0.712,37.69867014884949
4,0.6553460325558981,0.7741777777777777,1.0118955409049988,0.7038,39.07624936103821
5,0.5875370926115248,0.7973111111111111,0.6872714118957519,0.778,40.58185839653015
6,0.5333925909678141,0.8172,0.6901929446220398,0.7668,39.40158176422119
7,0.4897359502686395,0.8299111111111112,0.7541857555389404,0.7654,39.33308553695679
8,0.45335223960876464,0.8444,0.6521518651008607,0.784,39.4779269695282
9,0.42221091312832304,0.8558666666666667,0.5526382435798645,0.8162,39.501774072647095
10,0.3991070664670732,0.8631333333333333,0.44561970620155333,0.8508,39.25147080421448
11,0.37264343138800726,0.8718,0.5239042489051818,0.8288,39.18405747413635
12,0.3613079606903924,0.8751555555555556,0.45046490850448606,0.8478,39.89026975631714
13,0.3399719140847524,0.8825333333333333,0.43885330696105956,0.8598,39.23422360420227
14,0.32792905428144664,0.887,0.49052970418930053,0.8332,39.38155937194824
15,0.32142014509307015,0.8889555555555556,0.4586975626945496,0.8514,39.750521421432495
16,0.31037788275612727,0.8951555555555556,0.4599771521568298,0.8442,39.09355878829956
17,0.300628512318929,0.8974666666666666,0.4845699953079224,0.8444,39.38457536697388
18,0.29356050305896336,0.8977111111111111,0.40113997859954836,0.863,39.29932951927185
19,0.28289304797384474,0.9023777777777777,0.3895707847595215,0.8682,39.262842893600464
20,0.27686966150601705,0.9043333333333333,0.4603497992515564,0.8556,39.37601017951965
21,0.2635014706161287,0.9085333333333333,0.45522417182922364,0.8528,39.112329959869385
22,0.25140308278136786,0.9131111111111111,0.4030482656478882,0.8684,39.83419919013977
23,0.2410966910786099,0.9176222222222222,0.452799630355835,0.8598,39.36468458175659
24,0.2243953541331821,0.9231333333333334,0.37775983424186704,0.8754,38.96661639213562
25,0.20570288001563813,0.9294,0.323598002910614,0.8908,39.555116415023804
26,0.19668628902435303,0.9308666666666666,0.3636707860946655,0.8842,39.338881492614746
27,0.17565023573769464,0.9404444444444444,0.33773169536590575,0.8854,39.23553943634033
28,0.1491836472219891,0.9492666666666667,0.30947347888946536,0.9012,38.97848057746887
29,0.12137234092288547,0.9580666666666666,0.24610275650024413,0.9214,39.18851280212402
30,0.09270837978919347,0.9688444444444444,0.22782425718307495,0.9328,39.388296365737915
31,0.06428493988646401,0.9785777777777778,0.2534135150909424,0.926,39.17138481140137
32,0.04506856932507621,0.9860888888888889,0.20908999967575073,0.937,39.99223327636719
33,0.027884314015838834,0.9920222222222222,0.20772158994674683,0.9386,39.27346181869507
34,0.022879426591263876,0.9940222222222223,0.20283856563568115,0.938,39.20452642440796
35,0.01964772564023733,0.9952888888888889,0.20187085475921632,0.939,40.09992027282715
